study_area,global_validation_macro_f1,local_validation_macro_f1,validation_improvement,global_test_macro_f1,local_test_macro_f1,test_improvement
Bergen,0.464398787842589,0.4801661311798389,0.01576734333724994,0.4538779637111028,0.4412919460000431,-0.01258601771105966
Kristiansund,0.36186038190339415,0.37817663866143086,0.016316256758036718,0.3515695843083974,0.36099486681273474,0.009425282504337329
Stavanger,0.48935677317133547,0.4936956390244192,0.00433886585308374,0.5222870444857369,0.5201775267102927,-0.002109517775444214
Tromsø,0.6826469202642126,0.6715079860608281,-0.01113893420338452,0.6480330387403158,0.6378131715721692,-0.010219867168146601
Ålesund,0.7349581796561662,0.7446462544452522,0.009688074789086065,0.7783047581372585,0.770556245541059,-0.007748512596199575
