study_area,candidate_id,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_weighted_f1
Ålesund,LOCAL_XGB_06,0.7446462544452522,0.8398962148962149,0.770556245541059,0.8491164476665156,0.783823065842836,0.7612489818432874,0.8454291471972982
Tromsø,LOCAL_XGB_01,0.6715079860608281,0.7301587301587301,0.6378131715721692,0.6918894426823743,0.6402263727079444,0.6390989336552398,0.6840869254636424
Stavanger,LOCAL_XGB_04,0.4936956390244192,0.5612026862026862,0.5201775267102927,0.5826914363389216,0.5345946990638538,0.5357299992478293,0.5765812117173497
Bergen,LOCAL_XGB_07,0.4801661311798389,0.5186202686202687,0.4412919460000431,0.4907113729043951,0.4564302664737026,0.4580313614548596,0.45869196455920214
Kristiansund,LOCAL_XGB_06,0.37817663866143086,0.4590964590964591,0.36099486681273474,0.4780244676030811,0.42063823515146154,0.39190096581035166,0.41446680304463585
