experiment,approach,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1
V2 XGBoost,Direct multi-area classification,0.632442229270503,0.6409439946558401,0.6378689884475676,0.6259511043955314,0.6292046172725142
V3 Local,Separate XGBoost model per study area,0.6184866334390575,0.625573543172549,0.6231859353294139,0.6133049243058366,0.6168665000355854
V6 TabPFN,Pretrained tabular foundation model,0.5979157227004984,0.6009724758549462,0.5991617363421419,0.5882404264946012,0.5922693999951667
V5 GRU,48-hour deep temporal sequence classification,0.6072496601721794,0.6343667343672026,0.599703231797208,0.5800576807417782,0.583766044729659
V4 Regression,Count regression followed by area thresholds,0.5852288173991844,0.62543444182062,0.5647094187152959,0.5563665303181001,0.5717150195660197
