study_area,candidate_id,validation_macro_f1,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_weighted_f1,training_seconds,parameters
Stavanger,LOCAL_XGB_04,0.4936956390244192,0.5612026862026862,0.515421800507657,0.5194321134606108,0.5426237160098879,2.201844600000186,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_05,0.49037369828621946,0.5608974358974359,0.5042508560876348,0.5157149090072796,0.5417277964022892,2.7687901000026613,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Stavanger,LOCAL_XGB_06,0.48767341290953503,0.5564713064713065,0.5057354910447304,0.5128607129096853,0.5374072231063853,3.065852699975949,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Stavanger,LOCAL_XGB_07,0.4885070061405985,0.561050061050061,0.5088334261872305,0.5156579747496018,0.5393494931340246,1.5867563000065275,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_01,0.6715079860608281,0.7301587301587301,0.6659364471171533,0.6786025347964503,0.7326962342018803,1.505956500011962,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_02,0.6692591431236444,0.729090354090354,0.6632200331707803,0.6774528707885409,0.7332893008096073,2.527128999994602,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_03,0.6706346568025955,0.7287851037851037,0.6647298499758324,0.6787541266949136,0.7335665027782288,3.191374199988786,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_04,0.6666969062513713,0.7263431013431013,0.6605517865400762,0.6754517922555082,0.7315254456978353,2.094516699988162,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_05,0.6652813822445751,0.7246642246642246,0.658548608843963,0.67509334077582,0.7297357444443942,2.8160819000040647,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Tromsø,LOCAL_XGB_06,0.6615947689257838,0.7205433455433455,0.6556016611454286,0.6705013778031733,0.7264668630957627,3.1426430999999866,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Tromsø,LOCAL_XGB_07,0.6668717389507859,0.7272588522588522,0.6608273181549899,0.6752959326837525,0.732002835079756,1.5695092999958433,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_01,0.6853615588932191,0.8264652014652014,0.7603500155034815,0.6685735254318752,0.8126129010385174,1.5330870000179857,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_02,0.7310355420230894,0.8414224664224664,0.7624200838852547,0.7157317654876922,0.8345212143963414,2.992267299996456,"{""n_estimators"": 400, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_03,0.7338693843411868,0.8408119658119658,0.7605582580641936,0.7199769219811604,0.8346374911067077,4.703343200002564,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_04,0.7389483858805045,0.8403540903540904,0.7580860260313947,0.7280328630738002,0.8353585464804242,2.2207254999957513,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_05,0.7385613927992768,0.8388278388278388,0.755893681306491,0.7284588569100022,0.8341251882084945,3.2076626000052784,"{""n_estimators"": 400, ""learning_rate"": 0.04, ""max_depth"": 8, ""min_child_weight"": 5, ""subsample"": 0.9, ""colsample_bytree"": 0.85}"
Ålesund,LOCAL_XGB_06,0.7446462544452522,0.8398962148962149,0.7563378130030172,0.7374170540236138,0.8362470182268948,3.114083600026788,"{""n_estimators"": 350, ""learning_rate"": 0.05, ""max_depth"": 9, ""min_child_weight"": 3, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
Ålesund,LOCAL_XGB_07,0.735137792196432,0.8395909645909646,0.7661825854349028,0.7195706699310364,0.8331723017070554,1.9352158999827225,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 3, ""subsample"": 0.85, ""colsample_bytree"": 0.9}"
